county,main_ev_name,main_ev_street_address,main_ev_city,state,main_ev_zip,main_ev_lat,main_ev_long,registrar_phone,main_ev_monday_friday,main_ev_sat,main_ev_sun,county_ev_lookup_link
Prince William County,Brentsville Historic Courthouse,12229 Bristow Rd,Bristow,VA,20163,,,703-792-6470,Oct 19 - Oct 30: 8:30am-4:30pm,Oct 24 & 31: 11am-5pm,Oct 18 & 25: 11am-5pm,https://www.pwcvotes.org/earlyvoting
Prince William County,Dumfries Community Center,17757 Main St,Dumfries,VA,22026,,,703-792-6470,Oct 19 - Oct 30: 8:30am-4:30pm,Oct 24 & 31: 11am-5pm,Oct 18 & 25: 11am-5pm,https://www.pwcvotes.org/earlyvoting
Pulaski County,General Registrars Office,87 Commerce Street,Pulaski,VA,24301,,,540-980-2111,Coming Soon,Coming Soon,,
Radford City,General Registrars Office,619 2nd Street,Radford,VA,24141,,,540-267-3156,Coming Soon,Coming Soon,,
Rappahannock,General Registrars Office,262A Gay Street,Washington,VA,22747,,,(540) 675-5380,Coming Soon,Coming Soon,,
Richmond City,General Registrars Office,2134 West Laburnum Avenue,Richmond,VA,23227,,,(804) 646-5950,Sept 18-Oct 30: 8:30am-5pm,Oct 24 & 31: 9am-5pm,Oct 18 & 25: 12pm-5pm,
Richmond City,City Hall,900 E Broad St,Richmond,VA,23219,,,(804) 646-5951,Sept 18-Oct 30: 8:30am-5pm,Oct 24 & 31: 9am-5pm,Oct 18 & 25: 12pm-5pm,
Richmond City,Hickory Hill Community Center,3000 E Belt Blvd,Richmond,VA,23234,,,(804) 646-5952,Sept 18-Oct 30: 8:30am-5pm,Oct 24 & 31: 9am-5pm,Oct 18 & 25: 12pm-5pm,
Richmond County,General Registrars Office,101 Court Circle,Warsaw,VA,22572,,,804-333-4772,Coming Soon,Oct 24 & 31:,,
Roanoke City,General Registrars Office,317 Kimball Avenue,Roanoke,VA,24016,,,540-853-2281,"Sept 18 - Oct 30: 8:30am-4:30pm, Oct.12: closed","Oct 24: 8am-4pm, Oct 31: 9am-5pm",Oct 18 and Oct 25: 12pm-5pm,
Roanoke County,Office of Elections - Craig Center,900 Chestnut Street,Vinton,VA,24179,,,540-772-7499,Sept 18 - Oct 30: 8:00am-4:00pm ,"Oct 24: 8am-4pm, Oct 31: 9am-5pm",Oct 18 and Oct 25: 11:00am-4:00pm,
Roanoke County,Brambleton Center Elections Satellite Office,3738 Brambleton Ave,Roanoke,VA,24018,,,540-772-7500,Sept 18 - Oct 30: 8:00am-4:00pm ,"Oct 24: 8am-4pm, Oct 31: 9am-5pm",Oct 18 and Oct 25: 11:00am-4:00pm,
Rockbridge County,General Registrar's Office,150 S. Main St.,Lexington,VA,24450,,,(540) 463-7203,Coming Soon,Coming Soon,**,
Rockingham County,Rockingham County Administration Center,20 E. Gay St.,Harrisonburg,VA,22802,,,(540) 564-3055,"Sept 18 - Oct 30: 8:00am-4:00pm, Oct.12: closed",Oct 24 and 31: 9am-5pm ,Oct 18 and 25: 12pm-5pm,
Russell County,General Registrar's Office,96 Russell Street,Lebanon,VA,24266,,,(276) 889-8006,Coming Soon,Coming Soon,**,
Salem County,General Registrar's Office,19 East Clay Street,Salem,VA,24153,,,540-375-3034,Sept 18 - Oct 30: 8:00am-4:00pm ,Oct 24: 8am-4pm; Oct 31: 9am-5pm,Oct 18 and Oct 25: 11:00am-4:00pm,
Scott County,General Registrar's Office,190 Beech St. Ste 204,Gate City,VA,24251,,,276-386-3843,Coming Soon,Coming Soon,**,
Shenandoah County,General Registrar's Office,600 N. Main Street Suite 103,Woodstock,VA,22664,,,(540) 459-6195,Sept 18 - Oct 30: 8:30am-4:30pm,Oct 24 and 31: 9-5pm,Oct 18 and 25: 12-5pm,
Smyth County,General Registrar's Office,"121 Bagley Circle, Suite 422",Marion,VA,24354,,,(276) 706-8333,"Sept 18 - Oct 30: 9am-5pm, Oct 19: closed",Oct 24 and 31: 9am-5pm,Oct 25: 12-5pm,
Southampton City,General Registrar's Office,22305 Main Street,Courtland,VA,23837,,,757-653-9280,Sept 18 - Oct 30: 9am-5pm,Oct 24 and 31: 9am-5pm,Oct 18 and 25: 11am-4pm,
Spotsylvania County,Office of Elections,4708 Southpoint Pkwy,Sptosylvania,VA,22407,,,540-507-7380,"Sept 18 - Oct 30: 8:30am-4:30pm, Extended Hours Oct 1, and Oct 15: 8:30am - 6:30pm",Oct 24 and 31: 8:30am - 4:30pm,Oct 18 and 25: 11am-4pm,
Stafford County,Stafford County Elections Office,124 Old Potomac Church Rd. Ste. 205,Stafford,VA,22554,,,540-658-4000,Sept 18 - Oct 30: 8:30am-4:30pm,Oct 24 and 31: 9am-5pm ,Oct 18 and 25: 11am-4pm,
Staunton City,General Registar's Office in City Hall,116 W Beverley St 1st Floor,Staunton,VA,24402,,,540-332-3840,Sept 18 - Oct 30: 9am-5pm,Oct 24 and 31: 9am-5pm ,Oct 18 and 25: 10am-3pm,
Suffolk City,General Registrar's Office,440 Market Street 1st Floor,Suffolk,VA,23434,,,757-514-7750,Sept 18 - Oct 30: 8:30am-5pm,Oct 24 and 31: 9am-5pm,Oct 18 and 25: 11am-4pm,
Surry County,General Registrar's Office,45 School Street,Surry,VA,23883,,,757-294-5213,Coming Soon,Coming Soon,**,
Sussex County,General Registrar's Office,15080 Courthouse Rd,Sussex,VA,23882,,,434-246-1045,Coming Soon,Coming Soon,**,
Tazewell County,General Registrar's Office,2848 Riverside Drive,North Tazewell,VA,24630,,,276-385-1305,"Sept 18 - Oct 30: 8:00am-4:00pm, Oct.12: closed",Oct 24 and 31: 9am-5pm,Oct 18 and 25: 11am-4pm,
Virginia Beach City,General Registrar's Office,500 Studio Drive,Virginia Beach,VA,23452,,,757-385-8683,Sept 18 - Oct 30: 9am-5pm,Oct 24 and 31: 9am-5pm,Oct 18 and 25: 11am-4pm,
Virginia Beach City,Bayside Recreation Center,4500 First Court Road,Virginia Beach,VA,23455,,,757-385-8684,Oct 19 - Oct 30: 9am-5pm,"Oct 24 and 31: 9am-5pm 
",Oct 18 and 25: 11am-4pm,
Virginia Beach City,Great Neck Recreation Center,2521 Shorehaven Drive,Virginia Beach,VA,23454,,,757-385-8685,Oct 19 - Oct 30: 9am-5pm,Oct 24 and 31: 9am-5pm ,Oct 18 and 25: 11am-4pm,
Virginia Beach City,Seatack Recreation Center,141 S. Birdneck Road,Virginia Beach,VA,23451,,,(757) 385-5920,Oct 19 - Oct 30: 9am-5pm,Oct 24 and 31: 9am-5pm,Oct 18 and 25: 11am-4pm,
Virginia Beach City,Kempsville Area Library,832 Kempsville Road,Virginia Beach,VA,23464,,,757-385-8687,Oct 19 - Oct 30: 9am-5pm,Oct 24 and 31: 9am-5pm,Oct 18 and 25: 11am-4pm,
Virginia Beach City,Princess Anne Area Library,1444 Nimmo Pkwy,Virginia Beach,VA,23456,,,757-385-8688,Oct 19 - Oct 30: 9am-5pm,Oct 24 and 31: 9am-5pm ,Oct 18 and 25: 11am-4pm,
Warren County,Elections Office,465 W. 15th Street Suite 800,FRONT ROYAL,VA,22630,,,540-635-4327,Sept 18 - Oct 30: 9am-5pm,"Oct 24 and 31: 9am-5pm 
",Oct 18 and 25: 12pm-5pm,
Washington County,General Registrar's Office,1 Government Center Place Second Floor,Abingdon,VA,24210,,,276-676-6227,Sept 18 - Oct 30: 9am-5pm,Oct 24 and 31: 9am-5pm,Oct 18 and 25: 12pm-5pm,
Waynesboro City,General Registrar's Office,501 W. Broad Street,Waynesboro,VA,22980,,,540-942-6620,"Sept 18 - Oct 30: 9am-1pm, 2pm- 5pm","Oct 24 and 31: 9am-5pm 
",Oct 18 and 25: 11am-4pm,
Westmoreland County,General Registrar's Office,105 Court Square,Montross,VA,22520,,,804-493-8898,Coming Soon,Coming Soon,**,
Williamsburg City,General Registrar's Office,401 Lafayette Street; Municpal Building,Williamsburg,VA,23187,,,757-220-6157,Sept 18 - Oct 30: 8:00am-4:30pm,Oct 24: 8:00am-4:30pm; Oct 31: 8:00am-5:00pm. ,Oct 18 and Oct 25: 11:00pm-4:00pm,
Winchester City,General Registrar's Office,107-A N. East Lane,Winchester,VA,22601,,,540-545-7910,Sept 18 - Oct 30: 8:30am-4:30pm,"Oct 24: 8:30am-4:30pm,  Oct 31: 8:30am-5:00pm.  ",Oct 18 and Oct 25: 12:00pm-5:00pm,
Wise County,General Registrar's Office,5607 Patriot Drive,Wise,VA,24293,,,276-328-8331,Sept 18 - Oct 30: 8:30am-5:00pm,"Oct 24 and 31: 9am-5pm 
",Oct 18 and 25: 12pm-5pm,
Wise County,Big Stone Gap Town Hall,505 E 5th St S,Big Stone Gap,VA,24219,,,276-328-8332,Coming Soon,Coming Soon,**,
Wythe County,General Registrar's Office,245 S 4th Street.,Wytheville,VA,24382,,,276-223-6038,"Sept 18 - Oct 30: 8:30am-4:30pm, Oct 12: closed","Oct 24, and Oct 31: 8:30am-4:30pm",Oct 18 and Oct 25: 12:00pm-5:00pm,
York County,General Registrar's Office,5322 George Washington Memorial Highway,Yorktown,VA,23692,,,757-890-3440,"Sept 18 - Oct 30: 8:30am-5:00pm, Oct 19: closed","Oct 24 and 31: 9am-5pm 
",Oct 18 and 25: 12pm-5pm,
York County,General Registrar's Office,"6614 Mooretown Rd., Ste. A",Williamsburg,VA,23188,,,757-890-3441,"Sept 18 - Oct 30: 8:30am-5:00pm, Oct 19: closed","Oct 24 and 31: 9am-5pm 
",Oct 18 and 25: 12pm-5pm,
